slug,title,closed,winner,endDate,volume,upMin,upMax,upLast,upTouched,upTouchTime,upTouchWon,upPoints,downMin,downMax,downLast,downTouched,downTouchTime,downTouchWon,downPoints,url,error
bitcoin-up-or-down-june-19-2026-6pm-et,"Bitcoin Up or Down - June 19, 6PM ET",True,Up,2026-06-19T23:00:00Z,27735.182340000018,0.495,0.9995,0.9995,False,,False,290,0.0005,0.505,0.0005,True,2026-06-19T22:20:05+00:00,False,290,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-6pm-et,
bitcoin-up-or-down-june-19-2026-5pm-et,"Bitcoin Up or Down - June 19, 5PM ET",True,Down,2026-06-19T22:00:00Z,27047.778036999996,0.0005,0.52,0.0005,True,2026-06-19T21:30:04+00:00,False,291,0.48,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-5pm-et,
bitcoin-up-or-down-june-19-2026-4pm-et,"Bitcoin Up or Down - June 19, 4PM ET",True,Up,2026-06-19T21:00:00Z,44782.760924,0.5,0.9995,0.9995,False,,False,291,0.0005,0.5,0.0005,True,2026-06-19T20:30:04+00:00,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-4pm-et,
bitcoin-up-or-down-june-19-2026-3pm-et,"Bitcoin Up or Down - June 19, 3PM ET",True,Down,2026-06-19T20:00:00Z,81542.54952900007,0.0005,0.505,0.0005,True,2026-06-19T19:20:04+00:00,False,291,0.495,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-3pm-et,
bitcoin-up-or-down-june-19-2026-2pm-et,"Bitcoin Up or Down - June 19, 2PM ET",True,Down,2026-06-19T19:00:00Z,43082.371126,0.0005,0.505,0.0005,True,2026-06-19T18:30:05+00:00,False,291,0.495,0.9995,0.9995,False,,False,291,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-2pm-et,
bitcoin-up-or-down-june-19-2026-1pm-et,"Bitcoin Up or Down - June 19, 1PM ET",True,Up,2026-06-19T18:00:00Z,43768.661924000015,0.405,0.9995,0.9995,False,,False,282,0.0005,0.595,0.0005,True,2026-06-19T17:20:03+00:00,False,282,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-1pm-et,
bitcoin-up-or-down-june-19-2026-12pm-et,"Bitcoin Up or Down - June 19, 12PM ET",True,Down,2026-06-19T17:00:00Z,42752.189692999964,0.0005,0.725,0.0005,True,2026-06-19T17:00:04+00:00,False,282,0.275,0.9995,0.9995,True,2026-06-19T16:40:04+00:00,True,282,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-12pm-et,
bitcoin-up-or-down-june-19-2026-11am-et,"Bitcoin Up or Down - June 19, 11AM ET",True,Up,2026-06-19T16:00:00Z,45651.28200599994,0.175,0.9995,0.9995,True,2026-06-19T15:20:04+00:00,True,281,0.0005,0.825,0.0005,True,2026-06-19T16:00:04+00:00,False,281,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-11am-et,
bitcoin-up-or-down-june-19-2026-10am-et,"Bitcoin Up or Down - June 19, 10AM ET",True,Down,2026-06-19T15:00:00Z,61210.276758999804,0.0005,0.845,0.0005,True,2026-06-19T14:20:03+00:00,False,282,0.165,0.9995,0.9995,True,2026-06-19T14:40:03+00:00,True,282,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-10am-et,
bitcoin-up-or-down-june-19-2026-9am-et,"Bitcoin Up or Down - June 19, 9AM ET",True,Up,2026-06-19T14:00:00Z,58222.3102279999,0.275,0.9995,0.9995,True,2026-06-19T13:20:03+00:00,True,282,0.0005,0.725,0.0005,True,2026-06-19T13:40:04+00:00,False,282,https://polymarket.com/event/bitcoin-up-or-down-june-19-2026-9am-et,
