timestamp_ms,market_slug,timeframe,time_till_end,seconds_till_end,up_best_bid,up_best_ask,down_best_bid,down_best_ask,up_spread,down_spread,up_bid_depth5,up_ask_depth5,down_bid_depth5,down_ask_depth5,up_imbalance,down_imbalance,up_microprice,down_microprice,arb_bid_sum_l1,arb_edge_l1
1782168570971,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:30,630,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,648.14,648.14,140.0,-0.6447331692338925,0.6447331692338925,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168574295,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:26,626,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,648.14,648.14,140.0,-0.6447331692338925,0.6447331692338925,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168577691,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:23,623,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,755.94,755.94,140.0,-0.687479072259303,0.687479072259303,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168581037,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:19,619,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,623.14,623.14,140.0,-0.633094844982572,0.633094844982572,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168584605,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:16,616,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,455.93,455.93,140.0,-0.5301461581058178,0.5301461581058178,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168587942,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:13,613,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,455.93,348.13,140.0,-0.5301461581058178,0.4263823161862619,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168591273,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:09,609,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,348.13,348.13,140.0,-0.4263823161862619,0.4263823161862619,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168594622,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:06,606,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,348.13,348.13,140.0,-0.4263823161862619,0.4263823161862619,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168597926,bitcoin-up-or-down-june-22-2026-6pm-et,1h,10:03,603,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,348.13,348.13,140.0,-0.4263823161862619,0.4263823161862619,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168601250,bitcoin-up-or-down-june-22-2026-6pm-et,1h,9:59,599,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,348.13,348.13,140.0,-0.4263823161862619,0.4263823161862619,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
1782168604564,bitcoin-up-or-down-june-22-2026-6pm-et,1h,9:56,596,0.001,0.004,0.996,0.999,0.003,0.0030000000000000027,140.0,348.13,348.13,140.0,-0.4263823161862619,0.4263823161862619,0.0038125627804192056,0.9961874372195807,0.997,0.0030000000000000027
